Jumlah Saham yang Digunakan untuk Penghitungan Indeks IDX80,,,,,,
Periode Agustus  s.d. Oktober 2020,,,,,,
,,,,,,
,,,,,,
No.,Kode,Nama Saham,"Rasio Free Float
(%)",Jumlah Saham untuk Indeks (lembar),,Keterangan
,,,,Saat Ini,Hasil Evaluasi,
63,SMGR,Semen Indonesia (Persero) Tbk.,48.97%,"2,904,665,344","2,904,665,344",Tetap
64,SMRA,Summarecon Agung Tbk.,41.80%,"6,030,394,742","6,030,394,742",Tetap
65,SMSM,Selamat Sempurna Tbk.,40.63%,"2,339,749,831","2,339,749,831",Tetap
66,SRIL,Sri Rejeki Isman Tbk.,39.89%,"6,499,701,801","8,158,373,343",Berubah
67,SSIA,Surya Semesta Internusa Tbk.,71.80%,"3,376,957,523","3,378,369,098",Berubah
68,TBIG,Tower Bersama Infrastructure Tbk.,44.03%,"10,995,441,831","9,975,876,856",Berubah
69,TINS,Timah Tbk.,34.96%,"2,603,734,608","2,603,734,608",Tetap
70,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,29.07%,"1,008,995,759","905,014,092",Berubah
71,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,47.85%,"28,253,351,149","33,733,940,725",Berubah
72,TOWR,Sarana Menara Nusantara Tbk.,49.95%,"25,481,805,188","25,481,805,188",Tetap
73,TPIA,Chandra Asri Petrochemical Tbk.,12.52%,"2,261,290,369","2,232,756,737",Berubah
74,UNTR,United Tractors Tbk.,40.43%,"1,508,093,635","1,508,093,635",Tetap
75,UNVR,Unilever Indonesia Tbk.,14.41%,"5,497,415,000","5,497,415,000",Tetap
76,WEGE,Wijaya Karya Bangunan Gedung Tbk.,30.00%,"2,871,600,000","2,871,600,000",Tetap
77,WIKA,Wijaya Karya (Persero) Tbk.,34.94%,"3,134,101,009","3,134,101,009",Tetap
78,WOOD,Integra Indocabinet Tbk.,24.18%,"1,778,993,125","1,524,851,250",Berubah
79,WSBP,Waskita Beton Precast Tbk.,33.00%,"8,699,181,986","8,699,181,986",Tetap
80,WTON,Wijaya Karya Beton Tbk.,33.08%,"2,880,461,711","2,883,076,351",Berubah
,,,,,,
Hasil evaluasi ini mulai berlaku pada tanggal 3 Agustus 2020,,,,,,
